Timestamp,"Once it is available, do you intend to get the vaccine for COVID-19?",Have you received a positive test for COVID-19 since the start of the pandemic? ,"Do you know someone personally who has tested positive for COVID-19? (family member, close friend, etc.)",Have you received a flu shot in the past 12 months?,"Where do you typically go to get your vaccines? (This can include all vaccines such as flu, TDAP, Hepatitis A, HPV, etc.)","Do you have pre-existing conditions that would make COVID-19 infection more severe? (cancer, diabetes, high blood pressure, etc.)",Do you regularly wear a mask in public? ,What is your main source for updated information pertaining to COVID-19?,What do you see as a barrier or risk for you when deciding whether to get the COVID-19 vaccine? You can choose more than one or fill out the 'Other' option. ,I am at risk for contracting COVID-19.,COVID-19 can be a serious disease. ,The COVID-19 vaccine will prevent me from contracting COVID-19. ,There are many risks associated with getting the COVID-19 vaccine.,What is your age in years?,What is your race/ethnicity? You can choose more than one or fill out the 'Other' option.,What is the highest degree or level of school you have completed?,State of Residence ,Which gender identity do you most identify?,Which most closely aligns with your political beliefs?
10/2/20 15:54,Yes,No,Yes,Yes,Primary Care Doctor,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.",Safety concerns with the vaccine/side effects,Agree,Stongly Agree,Neutral,Agree,22,Asian,Graduate School,Tennessee,Female,Very Liberal
10/2/20 16:02,Yes,No,No,Yes,Work,Yes,Yes,Work,"None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine.",Stongly Disagree,Stongly Disagree,Agree,Disagree,51,White or Caucasian,Graduate School,Missouri,Female,Somewhat Conservative
10/2/20 16:10,Yes,No,Yes,Yes,University Health Center,No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)","Safety concerns with the vaccine/side effects, Cost of the Vaccine, Don't like needles and shots",Agree,Agree,Strongly Agree,Disagree,23,White or Caucasian,Bachelor's Degree,Indiana,Female,Very Liberal
10/2/20 16:13,Don't Know/Not sure,No,No,No,"Chain Pharmacies such as Walgreens, CVS, etc.",No,Yes,Radio/Podcasts,"Safety concerns with the vaccine/side effects, Cost of the Vaccine",Agree,Stongly Agree,Neutral,Strongly agree,31,White or Caucasian,Some college/Associate's Degree,Texas,Male,Somewhat Liberal
10/2/20 16:15,Yes,No,No,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.","None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine.",Stongly Agree,Stongly Agree,Agree,Disagree,71,White or Caucasian,"High school graduate, GED",Missouri,Female,Somewhat Liberal
10/2/20 16:17,Yes,Yes,Yes,No,Primary Care Doctor,No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)",Safety concerns with the vaccine/side effects,Agree,Stongly Agree,Agree,Neutral,22,White or Caucasian,Some college/Associate's Degree,Tennessee,Female,Mixed
10/2/20 16:17,Don't Know/Not sure,No,Yes,No,Primary Care Doctor,No,Yes,Local News Station,"Safety concerns with the vaccine/side effects, Cost of the Vaccine",Disagree,Agree,Neutral,Agree,48,White or Caucasian,Bachelor's Degree,Missouri,Female,Somewhat Liberal
10/2/20 16:17,No,No,No,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",Don't know/Not sure,Yes,Local News Station,"Safety concerns with the vaccine/side effects, Cost of the Vaccine, Concerned about getting COVID from the vaccine",Agree,Stongly Agree,.,.,77,White or Caucasian,Some college/Associate's Degree,Missouri,Female,.
10/2/20 16:18,Yes,No,No,Yes,Primary Care Doctor,Yes,Yes,Articles from medical research groups ,"None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine.",Neutral,Agree,Agree,Disagree,67,White or Caucasian,Some college/Associate's Degree,Missouri,Female,Very Liberal
10/2/20 16:18,Don't Know/Not sure,No,Yes,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",Yes,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)",Safety concerns with the vaccine/side effects,Neutral,Agree,Neutral,Neutral,51,White or Caucasian,Graduate School,Kansas,Female,Somewhat Conservative
10/2/20 16:18,Yes,No,Yes,Yes,Primary Care Doctor,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.",Safety concerns with the vaccine/side effects,Agree,Stongly Agree,Agree,Disagree,22,.,Bachelor's Degree,Missouri,Female,Mixed
10/2/20 16:19,Yes,No,Yes,No,Primary Care Doctor,No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)","Safety concerns with the vaccine/side effects, Cost of the Vaccine",Agree,Stongly Agree,Agree,Neutral,22,White or Caucasian,Some college/Associate's Degree,Missouri,Male,Somewhat Liberal
10/2/20 16:19,Yes,No,Yes,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",Yes,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)",Safety concerns with the vaccine/side effects,Stongly Agree,Stongly Agree,Agree,Neutral,22,Asian,Bachelor's Degree,Louisiana,Female,Somewhat Liberal
10/2/20 16:19,Yes,No,Yes,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",Yes,Yes,Radio/Podcasts,Cost of the Vaccine,Stongly Agree,Stongly Agree,Strongly Agree,Disagree,27,White or Caucasian,Bachelor's Degree,Missouri,Male,Mixed
10/2/20 16:20,Don't Know/Not sure,No,Yes,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.","None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine.",Stongly Agree,Stongly Agree,Agree,Agree,47,White or Caucasian,Bachelor's Degree,Missouri,Female,Somewhat Liberal
10/2/20 16:24,Yes,No,No,Yes,Primary Care Doctor,No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)","I don't have any barriers but I would rather those who need the vaccine to get it before I do! I'm less at risk for serious disease, so I can wait while high risk populations get it first.",Stongly Agree,Stongly Agree,Neutral,Neutral,24,White or Caucasian,Graduate School,Washington D.C,Female,Very Liberal
10/2/20 16:24,Don't Know/Not sure,No,Yes,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.",Safety concerns with the vaccine/side effects,Neutral,Stongly Agree,Neutral,Neutral,73,White or Caucasian,"High school graduate, GED",Missouri,Female,Somewhat Liberal
10/2/20 16:25,Yes,No,Yes,Yes,Primary Care Doctor,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.",Safety concerns with the vaccine/side effects,Neutral,Stongly Disagree,Agree,Neutral,23,Black or African American,Bachelor's Degree,Texas,Male,Very Liberal
10/2/20 16:26,Yes,No,Yes,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)",Safety concerns with the vaccine/side effects,Disagree,Stongly Agree,Agree,Neutral,22,.,Bachelor's Degree,Missouri,Male,Very Liberal
10/2/20 16:30,Yes,No,Yes,No,Primary Care Doctor,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.","Safety concerns with the vaccine/side effects, Cost of the Vaccine",Agree,Stongly Agree,Agree,Strongly agree,22,White or Caucasian,Bachelor's Degree,Missouri,Female,Very Liberal
10/2/20 16:31,Yes,No,Yes,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",No,Yes,Mix of social media and medical news sources,"Safety concerns with the vaccine/side effects, Concern with vaccine being pushed through quickly by the current administration and skipping necessary research and testing. However I regularly receive vaccines and trust the health system ",Agree,Stongly Agree,Agree,Neutral,22,White or Caucasian,Bachelor's Degree,Georgia,Female,Very Liberal
10/2/20 16:31,Don't Know/Not sure,No,Yes,Yes,Primary Care Doctor,Yes,Yes,Newspaper,Political reasons ,Neutral,Stongly Agree,Neutral,Neutral,21,White or Caucasian,Bachelor's Degree,.,Female,Very Liberal
10/2/20 16:31,Yes,No,No,No,Local Health Department,No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)","Cost of the Vaccine, Don't like needles and shots",Stongly Agree,Stongly Agree,Agree,Neutral,23,White or Caucasian,Graduate School,South Carolina,Female,Very Liberal
10/2/20 16:33,Yes,No,No,No,"Chain Pharmacies such as Walgreens, CVS, etc.",Don't know/Not sure,Yes,"National News Station such as Fox News, CNN, New York Times, etc.","None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine.",Agree,Stongly Agree,Agree,Neutral,26,Prefer not to answer,Bachelor's Degree,Missouri,Male,Mixed
10/2/20 16:33,Yes,No,Yes,Yes,Primary Care Doctor,Yes,Yes,"National News Station such as Fox News, CNN, New York Times, etc.","None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine.",Agree,Agree,Neutral,Neutral,51,White or Caucasian,Bachelor's Degree,Missouri,Male,Somewhat Liberal
10/2/20 16:34,Yes,No,Yes,Yes,Urgent Care,No,Yes,Local News Station,Safety concerns with the vaccine/side effects,Stongly Agree,Stongly Agree,Strongly Agree,Neutral,62,White or Caucasian,Bachelor's Degree,Missouri,Female,Somewhat Liberal
10/2/20 16:36,Yes,No,Yes,Yes,Primary Care Doctor,No,Yes,Government affiliated websites. ,"None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine.",Agree,Agree,Agree,Disagree,22,White or Caucasian,Graduate School,Texas,Male,Somewhat Conservative
10/2/20 16:40,Yes,No,Yes,No,Primary Care Doctor,No,Yes,CDC,"None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine.",Neutral,Stongly Agree,Neutral,Disagree,21,"White or Caucasian, Hispanic or Latinx",Some college/Associate's Degree,Illinois,Female,Very Liberal
10/2/20 16:43,Yes,No,No,Yes,Urgent Care,No,Yes,Local News Station,Don't believe the vaccine will work,Stongly Agree,Stongly Agree,Agree,Strongly agree,51,White or Caucasian,Bachelor's Degree,Missouri,Female,Somewhat Conservative
10/2/20 16:43,No,No,Yes,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",No,Yes,Newspaper,Safety concerns with the vaccine/side effects,Stongly Disagree,Neutral,Neutral,Agree,71,White or Caucasian,Graduate School,Missouri,Female,Very Conservative
10/2/20 16:43,Yes,No,Yes,No,Primary Care Doctor,No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)","Safety concerns with the vaccine/side effects, Cost of the Vaccine",Disagree,Stongly Agree,Neutral,Disagree,24,White or Caucasian,Bachelor's Degree,Alabama,Female,Somewhat Conservative
10/2/20 16:45,Don't Know/Not sure,No,Yes,Yes,Work provided,No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)",Safety concerns with the vaccine/side effects,Disagree,Stongly Agree,Agree,Neutral,25,White or Caucasian,Bachelor's Degree,Missouri,Female,Somewhat Liberal
10/2/20 16:47,Don't Know/Not sure,No,No,No,Primary Care Doctor,No,Don't know/Not sure,"National News Station such as Fox News, CNN, New York Times, etc.","None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine.",Disagree,Agree,Neutral,Neutral,30,White or Caucasian,Graduate School,Missouri,Male,Somewhat Conservative
10/2/20 16:49,Yes,No,Yes,Yes,Urgent Care,No,Yes,Health experts ,Safety concerns with the vaccine/side effects,Agree,Stongly Agree,Agree,Neutral,57,White or Caucasian,Graduate School,Missouri,Male,Mixed
10/2/20 16:53,Yes,No,Yes,Don't know/Not sure,Primary Care Doctor,No,Yes,Online news sources,"None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine.",Stongly Agree,Stongly Agree,Disagree,Disagree,24,"Black or African American, White or Caucasian",Bachelor's Degree,Missouri,Male,Very Liberal
10/2/20 16:54,Yes,No,Yes,Yes,Primary Care Doctor,Yes,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)",Safety concerns with the vaccine/side effects,Agree,Stongly Agree,Agree,Agree,23,White or Caucasian,Bachelor's Degree,Mississippi,Female,Very Liberal
10/2/20 16:58,Yes,No,Yes,Yes,Primary Care Doctor,No,Yes,Radio/Podcasts,Safety concerns with the vaccine/side effects,Agree,Stongly Agree,Agree,Neutral,23,White or Caucasian,Bachelor's Degree,Georgia,Female,Very Liberal
10/2/20 16:59,Don't Know/Not sure,No,Yes,No,Primary Care Doctor,No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)",Safety concerns with the vaccine/side effects,Neutral,Stongly Agree,Neutral,Neutral,22,White or Caucasian,Bachelor's Degree,Mississippi,Female,Mixed
10/2/20 16:59,Yes,No,Yes,Yes,Primary Care Doctor,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.",Safety concerns with the vaccine/side effects,Neutral,Stongly Agree,Agree,Neutral,23,White or Caucasian,Graduate School,Missouri,Male,Very Liberal
10/2/20 17:05,Don't Know/Not sure,No,Yes,Yes,Primary Care Doctor,No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)",Safety concerns with the vaccine/side effects,Disagree,Stongly Agree,Neutral,Neutral,22,"Asian, White or Caucasian",Graduate School,Tennessee,Female,Mixed
10/2/20 17:06,Don't Know/Not sure,No,Yes,No,Primary Care Doctor,No,Yes,Local News Station,"Safety concerns with the vaccine/side effects, Cost of the Vaccine",Disagree,Agree,Neutral,Agree,48,White or Caucasian,Bachelor's Degree,Missouri,Female,Somewhat Liberal
10/2/20 17:09,Yes,No,Yes,Don't know/Not sure,Primary Care Doctor,No,Yes,Online news sources,"None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine.",Stongly Agree,Stongly Agree,Disagree,Disagree,24,"Black or African American, White or Caucasian",Bachelor's Degree,Missouri,Male,Very Liberal
10/2/20 17:12,Yes,No,Yes,No,Local Health Department,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.","Safety concerns with the vaccine/side effects, Cost of the Vaccine, Don't like needles and shots",Neutral,Stongly Agree,Neutral,Neutral,23,White or Caucasian,Bachelor's Degree,Colorado,Female,Mixed
10/2/20 17:17,Don't Know/Not sure,No,Yes,Yes,Primary Care Doctor,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.",Safety concerns with the vaccine/side effects,Neutral,Agree,Disagree,Agree,48,White or Caucasian,"High school graduate, GED",Mississippi,Female,Somewhat Conservative
10/2/20 17:17,No,No,No,Yes,Local Health Department,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.","Safety concerns with the vaccine/side effects, Concerned about getting COVID from the vaccine, Don't like needles and shots, Don't believe the vaccine will work",Neutral,Agree,Strongly Disagree,Agree,20,White or Caucasian,"High school graduate, GED",Missouri,Female,Mixed
10/2/20 17:20,Don't Know/Not sure,No,Yes,Yes,Primary Care Doctor,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.",Safety concerns with the vaccine/side effects,Disagree,Stongly Agree,Agree,Neutral,22,White or Caucasian,Some college/Associate's Degree,Missouri,Female,Somewhat Liberal
10/2/20 17:26,Don't Know/Not sure,No,Yes,Yes,Primary Care Doctor,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.",Safety concerns with the vaccine/side effects,Neutral,Agree,Disagree,Agree,48,White or Caucasian,"High school graduate, GED",Mississippi,Female,Somewhat Conservative
10/2/20 17:26,Don't Know/Not sure,No,Yes,Yes,Primary Care Doctor,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.",Safety concerns with the vaccine/side effects,Neutral,Agree,Disagree,Agree,48,White or Caucasian,"High school graduate, GED",Mississippi,Female,Somewhat Conservative
10/2/20 17:31,Don't Know/Not sure,No,Yes,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.",Safety concerns with the vaccine/side effects,Agree,Stongly Agree,Agree,Neutral,24,White or Caucasian,Bachelor's Degree,Missouri,Female,Very Liberal
10/2/20 17:38,Yes,No,Yes,Yes,Primary Care Doctor,No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)",Safety concerns with the vaccine/side effects,Agree,Stongly Agree,Agree,Neutral,21,White or Caucasian,Some college/Associate's Degree,Alabama,Male,Very Liberal
10/2/20 17:47,Yes,No,No,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)","Cost of the Vaccine, Concerned about the effectiveness of the vaccine",Agree,Stongly Agree,Neutral,Disagree,23,White or Caucasian,Bachelor's Degree,Tennessee,Female,Very Liberal
10/2/20 17:54,Don't Know/Not sure,No,Yes,No,Primary Care Doctor,Don't know/Not sure,Yes,CDC or local news ,"Safety concerns with the vaccine/side effects, Cost of the Vaccine",Neutral,Agree,Neutral,Neutral,24,White or Caucasian,Bachelor's Degree,Missouri,Female,Somewhat Liberal
10/2/20 17:56,Yes,No,Yes,No,Urgent Care,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.",Safety concerns with the vaccine/side effects,Neutral,Stongly Agree,Neutral,Neutral,22,"Black or African American, White or Caucasian",Some college/Associate's Degree,Missouri,Female,Mixed
10/2/20 18:02,Don't Know/Not sure,No,Yes,Yes,Primary Care Doctor,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.",Safety concerns with the vaccine/side effects,Neutral,Agree,Disagree,Agree,48,White or Caucasian,"High school graduate, GED",Mississippi,Female,Somewhat Conservative
10/2/20 18:08,Yes,No,No,Yes,Primary Care Doctor,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.","None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine.",Agree,Agree,Agree,Agree,75,White or Caucasian,"High school graduate, GED",Missouri,Male,Somewhat Conservative
10/2/20 18:09,Don't Know/Not sure,No,Yes,Yes,Primary Care Doctor,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.",Safety concerns with the vaccine/side effects,Neutral,Agree,Disagree,Agree,48,White or Caucasian,"High school graduate, GED",Mississippi,Female,Somewhat Conservative
10/2/20 18:12,Yes,No,Yes,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)","Safety concerns with the vaccine/side effects, Cost of the Vaccine, Concerned about getting COVID from the vaccine, Don't believe the vaccine will work",Disagree,Agree,Agree,Neutral,25,White or Caucasian,Bachelor's Degree,Arizona,Female,Very Liberal
10/2/20 18:13,Don't Know/Not sure,No,No,No,"Chain Pharmacies such as Walgreens, CVS, etc.",No,Yes,Radio/Podcasts,"Safety concerns with the vaccine/side effects, Cost of the Vaccine",Agree,Stongly Agree,Neutral,Strongly agree,31,White or Caucasian,Some college/Associate's Degree,Texas,Male,Somewhat Liberal
10/2/20 18:22,Yes,No,No,Yes,"Walgreens for flu shot, PCP for everything else ",No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)","Safety concerns with the vaccine/side effects, None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine.",Agree,Stongly Agree,Agree,Agree,22,White or Caucasian,Bachelor's Degree,Missouri,Female,Very Liberal
10/2/20 18:24,Yes,No,Yes,No,Primary Care Doctor,Yes,Yes,"National News Station such as Fox News, CNN, New York Times, etc.","Cost of the Vaccine, Have a health condition or allergies that prevent vaccination, How often the vaccine will be needed, if it is an annual vaccine like the flu vaccine ",Stongly Agree,Stongly Agree,Strongly Agree,Disagree,21,"Asian, White or Caucasian",Bachelor's Degree,Alabama,Female,Somewhat Liberal
10/2/20 18:32,Don't Know/Not sure,No,Yes,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.",Safety concerns with the vaccine/side effects,Stongly Agree,Stongly Agree,Neutral,Disagree,22,White or Caucasian,Bachelor's Degree,Alabama,Female,Somewhat Liberal
10/2/20 18:50,Don't Know/Not sure,No,Yes,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)",Safety concerns with the vaccine/side effects,Stongly Disagree,Stongly Agree,Neutral,.,22,White or Caucasian,Bachelor's Degree,Missouri,Female,Somewhat Liberal
10/2/20 18:55,Don't Know/Not sure,No,Yes,Yes,Work provided,No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)",Safety concerns with the vaccine/side effects,Disagree,Stongly Agree,Agree,Neutral,25,White or Caucasian,Bachelor's Degree,Missouri,Female,Somewhat Liberal
10/2/20 19:11,Yes,No,No,No,Primary Care Doctor,No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)","Safety concerns with the vaccine/side effects, Don't like needles and shots",Stongly Agree,Stongly Agree,Agree,Disagree,22,White or Caucasian,Bachelor's Degree,Missouri,Female,Somewhat Liberal
10/2/20 19:14,Yes,No,No,Yes,Military,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.","None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine.",Agree,Agree,Agree,Agree,35,White or Caucasian,Bachelor's Degree,Texas,Female,Mixed
10/2/20 19:19,Yes,No,Yes,Yes,Primary Care Doctor,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.","Safety concerns with the vaccine/side effects, Cost of the Vaccine",Stongly Agree,Stongly Agree,Neutral,Neutral,24,Hispanic or Latinx,Bachelor's Degree,Michigan,Female,Very Liberal
10/2/20 19:20,Don't Know/Not sure,No,Yes,No,Primary Care Doctor,No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)",Safety concerns with the vaccine/side effects,Neutral,Agree,Neutral,Neutral,25,White or Caucasian,Graduate School,North Carolina,Female,Somewhat Conservative
10/2/20 19:25,Yes,No,Yes,Yes,Primary Care Doctor,No,Yes,Radio/Podcasts,Safety concerns with the vaccine/side effects,Agree,Stongly Agree,Agree,Neutral,23,White or Caucasian,Bachelor's Degree,Georgia,Female,Very Liberal
10/2/20 19:25,Don't Know/Not sure,No,Yes,No,Local Health Department,No,Yes,"National News Station such as Fox News, CNN, New York Times, etc.","Safety concerns with the vaccine/side effects, Political involvement with the vaccine production process, pushing it to be finished before fully evaluated for safety",Agree,Stongly Agree,Neutral,Neutral,32,White or Caucasian,Graduate School,Missouri,Female,Somewhat Liberal
10/2/20 19:30,No,No,No,No,Urgent Care,No,No,"Social Media (Facebook, Instagram, Twitter, etc.)","I don’t believe they actually know what COVID-19 is, the vaccination for it is just a trail in my opinion. It takes YEARS to preform testing for a legitimate vaccination. ",Neutral,Agree,Disagree,Neutral,21,White or Caucasian,Some college/Associate's Degree,Tennessee,Female,.
10/2/20 19:34,Don't Know/Not sure,No,No,No,Primary Care Doctor,Yes,Yes,St Charles city website,"Safety concerns with the vaccine/side effects, Concerned about getting COVID from the vaccine",Agree,Stongly Agree,Neutral,Agree,55,White or Caucasian,Some college/Associate's Degree,Missouri,Female,Mixed
10/2/20 19:34,Don't Know/Not sure,No,Yes,Yes,Primary Care Doctor,Yes,Yes,Newspaper,Political reasons ,Neutral,Stongly Agree,Neutral,Neutral,21,White or Caucasian,Bachelor's Degree,.,Female,Very Liberal
10/2/20 19:39,Don't Know/Not sure,No,Yes,No,Primary Care Doctor,No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)",Cost of the Vaccine,Disagree,Agree,Neutral,Neutral,23,Asian,Bachelor's Degree,Georgia,Female,Somewhat Liberal
10/2/20 19:39,Yes,No,Yes,Yes,Primary Care Doctor,Yes,Yes,"National News Station such as Fox News, CNN, New York Times, etc.","None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine.",Agree,Stongly Agree,Agree,Disagree,42,White or Caucasian,Graduate School,Illinois,Female,Very Liberal
10/2/20 19:41,Yes,No,Yes,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",No,Yes,Radio/Podcasts,"None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine.",Neutral,Stongly Agree,Neutral,Strongly disagree,49,White or Caucasian,Bachelor's Degree,Tennessee,Female,Very Liberal
10/2/20 19:43,Yes,No,Yes,Yes,"Chain Pharmacies such as Walgreens, CVS, etc.",No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)","None of these apply, I have no barriers or risks associated with getting the COVID-19 vaccine.",Agree,Stongly Agree,Agree,Disagree,22,White or Caucasian,Bachelor's Degree,Texas,Female,Somewhat Liberal
10/2/20 19:56,No,No,Yes,No,Primary Care Doctor,No,Yes,"Social Media (Facebook, Instagram, Twitter, etc.)",Safety concerns with the vaccine/side effects,Agree,Agree,Disagree,Agree,55,White or Caucasian,Some college/Associate's Degree,Tennessee,Female,Very Conservative
